time,theta_0,theta_1
1.672787933349609375e+02,8.839922904968261719e+00,5.526858568191528320e-01
1.677796325683593750e+02,8.997915267944335938e+00,3.521482050418853760e-01
1.682804718017578125e+02,9.068627357482910156e+00,2.776010930538177490e-01
1.687812957763671875e+02,9.121466636657714844e+00,2.251258939504623413e-01
1.692821350097656250e+02,9.165512084960937500e+00,1.845027059316635132e-01
1.697829742431640625e+02,8.969849586486816406e+00,3.959603011608123779e-01
1.702838134765625000e+02,9.066002845764160156e+00,2.875014841556549072e-01
1.707846374511718750e+02,9.123754501342773438e+00,2.278389483690261841e-01
1.712854766845703125e+02,9.168945312500000000e+00,1.853891164064407349e-01
1.717863159179687500e+02,9.207427024841308594e+00,1.523824632167816162e-01
1.722871398925781250e+02,9.240822792053222656e+00,1.262742280960083008e-01
1.727879791259765625e+02,9.269403457641601562e+00,1.059621274471282959e-01
1.732888183593750000e+02,9.293231010437011719e+00,9.056276828050613403e-02
1.737896423339843750e+02,9.312639236450195312e+00,7.909926027059555054e-02
1.742904815673828125e+02,9.328207015991210938e+00,7.061598449945449829e-02
1.747913208007812500e+02,9.340600967407226562e+00,6.431563943624496460e-02
1.752921600341796875e+02,9.350444793701171875e+00,5.959545820951461792e-02
1.757929840087890625e+02,9.358263015747070312e+00,5.601996555924415588e-02
1.762938232421875000e+02,9.364479064941406250e+00,5.328187346458435059e-02
1.767946624755859375e+02,9.369428634643554688e+00,5.116323381662368774e-02
1.772954864501953125e+02,9.373373031616210938e+00,4.950923100113868713e-02
1.777963256835937500e+02,9.376516342163085938e+00,4.820764064788818359e-02
1.782971649169921875e+02,9.379020690917968750e+00,4.717673733830451965e-02
1.787980041503906250e+02,9.381013870239257812e+00,4.635581001639366150e-02
1.792988281250000000e+02,9.382596969604492188e+00,4.569864645600318909e-02
1.797996673583984375e+02,9.383846282958984375e+00,4.517086222767829895e-02
1.803005065917968750e+02,9.384834289550781250e+00,4.474545270204544067e-02
1.808013305664062500e+02,9.385605812072753906e+00,4.440154507756233215e-02
1.813021697998046875e+02,9.386206626892089844e+00,4.412287846207618713e-02
1.818030090332031250e+02,9.386664390563964844e+00,4.389667510986328125e-02
1.823038330078125000e+02,9.387013435363769531e+00,4.371273517608642578e-02
1.828046722412109375e+02,9.387273788452148438e+00,4.356273636221885681e-02
1.833055114746093750e+02,9.387460708618164062e+00,4.344047605991363525e-02
1.838063507080078125e+02,9.387595176696777344e+00,4.334054514765739441e-02
1.843071746826171875e+02,9.387681961059570312e+00,4.325876757502555847e-02
1.848080139160156250e+02,9.387734413146972656e+00,4.319175705313682556e-02
